,state code,county code,affgeoid,geoid,county,location,total population,day population,EJI rank,Environmental burden rank,PM 2.5 rank,Diesel rank,Air toxics cancer risk,Lack of parks,Lack of walkability,railways,high volume roads,airports,"proximity to roads, rail, airports",social vulnerability sum,social vulnerability sum,social vulnerability rank,% high blood pressure,% asthma,% cancer,% mental health,% diabetes,high blood pressure rank,asthma rank,cancer rank,diabetes rank,mental health rank,SHAPE__Length,SHAPE__Area,geometry_x,geometry,Warehouse Present
0,06,071,1400000US06071001307,06071001307,San Bernardino,"Census Tract 13.07, San Bernardino County, Calif",4212,2345,0.6649,0.8834,0.9739,0.7475,0.7015,0.3853,0.4618,0.7891,0.6778,0.0,0.722,0.6535,0.6535,7.7705,25.3,9.4,4.3,14.4,11.8,0.1419,0.3966,0.0881,0.6264,0.5495,4784.119191519572,1282029.226126705,"POLYGON ((-1963807.2089999989 -157069.9277999997, -1963984.5866 -157840.67039999925, -1963931.5517999995 -157871.08029999956, -1963212.0478999987 -158039.63209999911, -1962440.5186 -158219.81460000016, -1962252.2096999995 -157439.78529999964, -1963031.8418999985 -157256.35089999996, -1963807.2089999989 -157069.9277999997))","POLYGON ((-117.628575 34.09215, -117.628563 34.085074, -117.62792400000001 34.084916, -117.619856 34.084899, -117.611206 34.084885, -117.61112299999999 34.092064, -117.619868 34.09209, -117.628575 34.09215))",False
1,06,071,1400000US06071001703,06071001703,San Bernardino,"Census Tract 17.03, San Bernardino County, Calif",5680,2388,0.4366,0.6255,0.9907,0.8804,0.9168,0.3853,0.2587,0.2622,0.7666,0.0,0.4965,0.4843,0.4843,6.7443,26.4,9.2,5.0,13.1,10.8,0.1893,0.3389,0.1785,0.5105,0.397,5575.388720817278,1908278.08064108,"POLYGON ((-1968855.2315999996 -162996.9425999988, -1968948.134299999 -163413.5451999996, -1969127.7511999998 -164207.10679999925, -1968737.5121999998 -164292.36869999953, -1968346.8111999985 -164377.2600999996, -1967957.6948999986 -164464.51860000007, -1967612.9813 -164542.3816999998, -1967431.7004999984 -163751.9598999992, -1967342.9993999992 -163342.18520000018, -1967693.039999999 -163288.3267000001, -1967906.7731999997 -163215.93009999953, -1968076.2747999988 -163173.5201999992, -1968423.5593999997 -163095.60280000046, -1968855.2315999996 -162996.9425999988))","POLYGON ((-117.667639 34.03029, -117.667599 34.026471, -117.667551 34.019191, -117.663194 34.019237, -117.658833 34.019287, -117.654483 34.019313, -117.650628 34.019331, -117.650649 34.026587, -117.650716 34.030338, -117.654467 34.030314, -117.654569 34.030100000000004, -117.65701899999999 34.030299, -117.658925 34.030325999999995, -117.662808 34.030302999999996, -117.667639 34.03029))",False
2,06,071,1400000US06071001812,06071001812,San Bernardino,"Census Tract 18.12, San Bernardino County, Calif",3477,2913,0.9054,0.9883,0.9872,0.9018,0.947,0.3853,0.4052,0.7891,0.5731,0.0,0.6576,0.9334,0.9334,9.899,27.5,9.8,4.2,15.8,13.7,0.2437,0.5157,0.0785,0.7878,0.6957,4243.720820531976,887149.6270812,"POLYGON ((-1966870.4562999997 -161282.1152999997, -1967074.4782999996 -162174.67430000007, -1967162.4929999989 -162568.0932, -1966734.945799999 -162662.0449000001, -1966345.4094999991 -162749.9188000001, -1966256.4679999985 -162354.7645999994, -1966477.292299999 -162309.43730000034, -1966297.0142 -161498.33889999986, -1966445.6830000002 -161378.40719999932, -1966870.4562999997 -161282.1152999997))","POLYGON ((-117.65077 34.049248999999996, -117.650739 34.041056999999995, -117.650705 34.03745, -117.645929 34.037495, -117.641572 34.037516, -117.64160000000001 34.04114, -117.644059 34.041089, -117.64414099999999 34.048522999999996, -117.646017 34.049268, -117.65077 34.049248999999996))",False
3,06,071,1400000US06071001002,06071001002,San Bernardino,"Census Tract 10.02, San Bernardino County, Calif",5929,1960,0.6587,0.7748,0.9785,0.7307,0.7717,0.3853,0.2799,0.7891,0.2781,0.0,0.5144,0.7037,0.7037,8.0941,25.1,9.7,3.7,15.7,11.3,0.1349,0.4859,0.04,0.5716,0.6859,4410.506266032648,1202109.687104145,"POLYGON ((-1969106.4123999998 -158735.28009999916, -1969110.0286999997 -158750.0451999996, -1969197.3191 -159129.64839999937, -1968233.4319000002 -159352.4695999995, -1968144.7807 -158955.05379999988, -1968099.015999999 -158755.81859999895, -1967963.8932999987 -158161.39250000007, -1968921.8508000001 -157943.61899999902, -1968925.5176999997 -157958.60199999996, -1969015.1198999994 -158342.49120000005, -1969017.7741 -158353.92269999906, -1969106.4123999998 -158735.28009999916))","POLYGON ((-117.680818 34.074059999999996, -117.680823 34.070533, -117.680823 34.070428, -117.680824 34.066925, -117.680826 34.066789, -117.68081699999999 34.063303999999995, -117.670019 34.063311999999996, -117.670057 34.066955, -117.670062 34.068784, -117.670092 34.074238, -117.680816 34.074197999999996, -117.680818 34.074059999999996))",False
4,06,071,1400000US06071001310,06071001310,San Bernardino,"Census Tract 13.10, San Bernardino County, Calif",6193,2689,0.7382,0.9542,0.9768,0.7394,0.7096,0.3853,0.3119,0.68,0.7666,0.9214,0.9793,0.7845,0.7845,8.6517,27.5,9.3,4.9,13.8,12.0,0.2437,0.3679,0.1641,0.6463,0.4797,5320.830383249131,1414417.738885285,"POLYGON ((-1965084.2770999987 -157355.52199999988, -1965221.000599999 -157952.79879999906, -1965310.1184999999 -158351.14570000023, -1965401.194599999 -158745.36539999954, -1965492.1404999997 -159140.64609999955, -1964904.2014999986 -159275.72890000045, -1964650.9370999988 -159336.92310000025, -1964560.688099999 -158938.38339999877, -1964469.4627999999 -158542.93620000035, -1964379.451299999 -158145.82919999957, -1964201.9079999998 -158188.33019999973, -1964668.1393999998 -157663.8574000001, -1964908.1799999997 -157458.1701999996, -1965084.2770999987 -157355.52199999988))","POLYGON ((-117.64145500000001 34.087081999999995, -117.641437 34.0816, -117.641403 34.077948, -117.6414 34.074328, -117.641393 34.070699, -117.63480799999999 34.070709, -117.631964 34.070687, -117.631986 34.074343, -117.63199 34.077974, -117.632011 34.081617, -117.630018 34.081604999999996, -117.636269 34.085235, -117.639329 34.086543, -117.64145500000001 34.087081999999995))",False
5,06,071,1400000US06071001503,06071001503,San Bernardino,"Census Tract 15.03, San Bernardino County, Calif",4126,1163,0.9282,0.9996,0.9808,0.7641,0.7521,0.3853,0.4052,0.7891,0.5784,0.9936,0.9788,0.9913,0.9913,10.9402,23.6,10.7,3.0,19.3,12.1,0.0881,0.7373,0.017,0.6563,0.9171,3172.3820732377676,552509.56951577,"POLYGON ((-1965213.8948 -159622.04810000025, -1965304.1997999996 -160021.94779999927, -1964730.7504999992 -160152.84420000017, -1964525.1677 -160200.3454, -1964435.0370999984 -159801.43799999915, -1964397.8988999985 -159632.55779999867, -1964407.3077999987 -159391.40330000035, -1964650.9370999988 -159336.92310000025, -1964904.2014999986 -159275.72890000045, -1964995.7810999993 -159671.43439999968, -1965213.8948 -159622.04810000025))","POLYGON ((-117.63480799999999 34.070709, -117.634807 34.067074999999996, -117.637248 34.067065, -117.637223 34.063397, -117.630803 34.063414, -117.6285 34.063415, -117.628524 34.067074, -117.628545 34.068621, -117.629239 34.070704, -117.631964 34.070687, -117.63480799999999 34.070709))",False
6,06,071,1400000US06071001707,06071001707,San Bernardino,"Census Tract 17.07, San Bernardino County, Calif",6525,2102,0.6717,0.8898,0.9856,0.8541,0.8871,0.3853,0.3282,0.6455,0.4656,0.0,0.534,0.6946,0.6946,8.0315,25.6,9.5,4.2,14.5,11.7,0.1541,0.4269,0.0785,0.6162,0.5611,5463.95992798283,1705902.149375245,"POLYGON ((-1968570.5951999985 -160898.2020999994, -1968788.331699999 -161785.39910000004, -1968203.0510999989 -161915.11759999953, -1967813.5702999998 -162004.77479999885, -1967074.4782999996 -162174.67430000007, -1966870.4562999997 -161282.1152999997, -1966841.5935999993 -161156.40880000032, -1967731.884399999 -161029.22729999945, -1967981.0694999993 -160991.50159999914, -1968039.4353 -160978.30539999902, -1968570.5951999985 -160898.2020999994))","POLYGON ((-117.66979 34.049158, -117.669916 34.040985, -117.663375 34.041038, -117.659014 34.041044, -117.650739 34.041056999999995, -117.65077 34.049248999999996, -117.650773 34.050402999999996, -117.660551 34.049712, -117.663293 34.049537, -117.663946 34.049534, -117.66979 34.049158))",False
7,06,071,1400000US06071001810,06071001810,San Bernardino,"Census Tract 18.10, San Bernardino County, Calif",5273,1537,0.6583,0.8768,0.9895,0.8955,0.9462,0.3853,0.4364,0.5446,0.7666,0.0,0.6304,0.7092,0.7092,8.132,24.7,9.6,3.9,14.8,11.7,0.1213,0.4568,0.0528,0.6162,0.5944,4068.275074484996,988536.196293625,"POLYGON ((-1967251.9102999996 -162961.0702999998, -1967342.9993999992 -163342.18520000018, -1966519.6122999992 -163532.4699999988, -1966130.8669999987 -163619.45299999975, -1965959.8246999998 -162841.4472000003, -1966345.4094999991 -162749.9188000001, -1966734.945799999 -162662.0449000001, -1967162.4929999989 -162568.0932, -1967251.9102999996 -162961.0702999998))","POLYGON ((-117.650705 34.03745, -117.650687 34.033844, -117.650716 34.030338, -117.641496 34.030343, -117.63714999999999 34.03037, -117.637248 34.037497, -117.641572 34.037516, -117.645929 34.037495, -117.650705 34.03745))",False
8,06,071,1400000US06071001101,06071001101,San Bernardino,"Census Tract 11.01, San Bernardino County, Calif",4173,3145,0.7491,0.8856,0.9798,0.713,0.7244,0.3853,0.2821,0.7891,0.0,0.0,0.368,0.7501,0.7501,8.4154,24.8,9.7,3.7,15.6,11.2,0.1248,0.4859,0.04,0.5598,0.6768,3807.452762798397,790858.51366276,"POLYGON ((-1968099.015999999 -158755.81859999895, -1968144.7807 -158955.05379999988, -1968233.4319000002 -159352.4695999995, -1967394.649699999 -159545.35429999977, -1966973.612399999 -159639.56409999914, -1966885.2762000002 -159241.61679999903, -1966854.4969999995 -159108.89409999922, -1966839.5409999993 -159042.37480000034, -1967258.0128999986 -158948.18610000052, -1968099.015999999 -158755.81859999895))","POLYGON ((-117.670062 34.068784, -117.670057 34.066955, -117.670019 34.063311999999996, -117.660625 34.063327, -117.65591599999999 34.063356999999996, -117.655958 34.067004, -117.655958 34.068222999999996, -117.655963 34.068833, -117.660645 34.068808, -117.670062 34.068784))",False
9,06,071,1400000US06071001308,06071001308,San Bernardino,"Census Tract 13.08, San Bernardino County, Calif",4643,2785,0.7928,0.9349,0.9774,0.793,0.7354,0.3853,0.1628,0.7056,0.7666,0.9456,0.9844,0.7711,0.7711,8.5545,24.6,9.8,3.7,15.8,11.4,0.1182,0.5157,0.04,0.5831,0.6957,4798.5760671992075,1071823.45714313,"POLYGON ((-1963390.0994999986 -158832.69739999995, -1963684.9608999994 -158762.02080000006, -1963282.6366999988 -159214.13849999942, -1962789.876699999 -159742.10610000044, -1962735.5563999992 -159582.13460000046, -1962609.6272 -159018.84950000048, -1962440.5186 -158219.81460000016, -1963212.0478999987 -158039.63209999911, -1963390.0994999986 -158832.69739999995))","POLYGON ((-117.619856 34.084899, -117.619797 34.077627, -117.623107 34.077647999999996, -117.617715 34.074518999999995, -117.611175 34.070910999999995, -117.610991 34.072415, -117.61103800000001 34.077579, -117.611206 34.084885, -117.619856 34.084899))",False
10,06,071,1400000US06071001808,06071001808,San Bernardino,"Census Tract 18.08, San Bernardino County, Calif",4644,1621,0.4812,0.6796,0.9942,0.8919,0.9238,0.5916,0.4273,0.0,0.7666,0.0,0.3209,0.296,0.296,5.562,22.7,9.0,4.1,12.8,9.3,0.069,0.2831,0.0688,0.319,0.362,4793.215364426964,1129590.549453695,"POLYGON ((-1964975.227599999 -163938.7525999993, -1965052.8637999985 -164285.0092999991, -1965227.879999999 -165075.3898999989, -1964835.7070999984 -165159.19079999998, -1964449.5219 -165248.12559999898, -1964272.7278999984 -164458.27190000005, -1963881.5069999993 -164544.79759999923, -1963793.660699999 -164150.54349999875, -1964900.5390999988 -163902.24320000038, -1964975.227599999 -163938.7525999993))","POLYGON ((-117.623377 34.030389, -117.624081 34.02992, -117.624054 34.026745, -117.623969 34.019501999999996, -117.619595 34.019563, -117.615272 34.019566999999995, -117.615336 34.026809, -117.610965 34.026844, -117.611001 34.030457999999996, -117.623377 34.030389))",False
11,06,071,1400000US06071000304,06071000304,San Bernardino,"Census Tract 3.04, San Bernardino County, Califo",6223,4775,0.6777,0.7983,0.982,0.7394,0.8035,0.3853,0.3384,0.7891,0.0,0.0,0.368,0.8971,0.8971,9.5428,26.2,9.3,4.3,14.1,12.3,0.1804,0.3679,0.0881,0.6756,0.5153,7544.299388552532,3271729.56208879,"POLYGON ((-1971621.514799999 -158975.96299999952, -1971800.158499999 -159799.04800000042, -1971883.7896999996 -160194.4115999993, -1971922.1127999984 -160354.40770000033, -1971946.5727999993 -160399.32409999892, -1971624.520299999 -160440.5653999988, -1971556.4013999999 -160449.85779999942, -1971141.3786999993 -160519.34359999932, -1970753.4087999985 -160577.70449999906, -1970742.0920000002 -160576.77669999935, -1970652.4145999998 -160588.4310999997, -1970569.9493999984 -160608.04739999957, -1970368.9825999998 -160641.9938999992, -1969570.5274999999 -160758.1163999997, -1969568.2026999984 -160754.18129999936, -1969451.0686999988 -160235.91149999946, -1969408.3993999995 -160046.05819999985, -1969384.3884999994 -159928.0591000002, -1969288.0990999993 -159503.6205000002, -1969383.9630999994 -159482.6241999995, -1969576.190299999 -159439.13529999927, -1970079.1733 -159325.875, -1970162.7951999996 -159308.0571999997, -1971621.514799999 -158975.96299999952))","POLYGON ((-117.706969 34.059734999999996, -117.706834 34.0522, -117.706746 34.048584999999996, -117.70675800000001 34.047112999999996, -117.706907 34.046672, -117.703382 34.046965, -117.702635 34.047022, -117.698052 34.047257, -117.693784 34.047534, -117.69366600000001 34.047565, -117.692684 34.047644999999996, -117.69175899999999 34.047641, -117.689539 34.047751999999996, -117.68076500000001 34.048356, -117.68075 34.048395, -117.680784 34.053149, -117.68079900000001 34.05489, -117.680835 34.055966999999995, -117.680859 34.059861, -117.68193 34.05985, -117.68408099999999 34.05984, -117.689708 34.059809, -117.690641 34.059795, -117.706969 34.059734999999996))",False
12,06,071,1400000US06071001104,06071001104,San Bernardino,"Census Tract 11.04, San Bernardino County, Calif",6140,2932,0.6934,0.8179,0.9758,0.713,0.712,0.3853,0.2056,0.6634,0.6211,0.0,0.6165,0.7374,0.7374,8.3278,29.0,9.5,6.2,13.7,12.8,0.3259,0.4269,0.3868,0.7203,0.4677,5883.984704799766,1792604.7059757,"POLYGON ((-1967635.8859 -156729.716599999, -1967782.6805999987 -157369.97919999994, -1967873.6678 -157766.51630000025, -1967963.8932999987 -158161.39250000007, -1968099.015999999 -158755.81859999895, -1967258.0128999986 -158948.18610000052, -1967123.3447999991 -158353.42540000007, -1967033.4177 -157956.41489999928, -1966942.6195999999 -157561.32550000027, -1966795.7281999998 -156918.33179999888, -1967635.8859 -156729.716599999))","POLYGON ((-117.670137 34.087379, -117.670118 34.081502, -117.670107 34.077861999999996, -117.670092 34.074238, -117.670062 34.068784, -117.660645 34.068808, -117.66068 34.074264, -117.660703 34.077906, -117.660712 34.081533, -117.660736 34.087434, -117.670137 34.087379))",False
13,06,071,1400000US06071001309,06071001309,San Bernardino,"Census Tract 13.09, San Bernardino County, Calif",4658,2374,0.74,0.8756,0.9787,0.778,0.7653,0.3853,0.463,0.708,0.7666,0.9771,0.9872,0.6001,0.6001,7.4423,25.6,9.9,4.0,15.6,11.8,0.1541,0.5445,0.0603,0.6264,0.6768,5754.274321056926,1309869.00697014,"POLYGON ((-1964379.451299999 -158145.82919999957, -1964469.4627999999 -158542.93620000035, -1964560.688099999 -158938.38339999877, -1964650.9370999988 -159336.92310000025, -1964407.3077999987 -159391.40330000035, -1963650.3259999994 -159565.2006000001, -1962989.7353999987 -159720.7491999995, -1962902.4102999996 -159924.85789999925, -1962828.2079999987 -159973.57770000026, -1962793.7709 -159758.52789999917, -1962789.876699999 -159742.10610000044, -1963282.6366999988 -159214.13849999942, -1963684.9608999994 -158762.02080000006, -1964094.5397999994 -158304.86569999903, -1964201.9079999998 -158188.33019999973, -1964379.451299999 -158145.82919999957))","POLYGON ((-117.630018 34.081604999999996, -117.632011 34.081617, -117.63199 34.077974, -117.631986 34.074343, -117.631964 34.070687, -117.629239 34.070704, -117.620761 34.070717, -117.613353 34.070693999999996, -117.61192199999999 34.069091, -117.611013 34.068816, -117.611176 34.07076, -117.611175 34.070910999999995, -117.617715 34.074518999999995, -117.623107 34.077647999999996, -117.628589 34.080805999999995, -117.630018 34.081604999999996))",False
14,06,071,1400000US06071001501,06071001501,San Bernardino,"Census Tract 15.01, San Bernardino County, Calif",4218,2536,0.7595,0.972,0.9804,0.7475,0.7467,0.3853,0.1756,0.7891,0.3308,0.9793,0.9548,0.8481,0.8481,9.1304,23.5,9.4,3.4,15.4,10.9,0.0857,0.3966,0.0264,0.5229,0.6567,3699.495811013122,752238.535147235,"POLYGON ((-1965912.5431999993 -159045.5036999993, -1965972.7526999991 -159309.311999999, -1966093.0199999996 -159841.5502000004, -1965671.3380999994 -159938.25090000033, -1965304.1997999996 -160021.94779999927, -1965213.8948 -159622.04810000025, -1964995.7810999993 -159671.43439999968, -1964904.2014999986 -159275.72890000045, -1965492.1404999997 -159140.64609999955, -1965704.2729000002 -159093.0889999997, -1965912.5431999993 -159045.5036999993))","POLYGON ((-117.646098 34.070679, -117.64608799999999 34.068258, -117.646055 34.063376, -117.641333 34.063385, -117.637223 34.063397, -117.637248 34.067065, -117.634807 34.067074999999996, -117.63480799999999 34.070709, -117.641393 34.070699, -117.643766 34.070685, -117.646098 34.070679))",False
15,06,071,1400000US06071001706,06071001706,San Bernardino,"Census Tract 17.06, San Bernardino County, Calif",6283,2430,0.7786,0.9194,0.9837,0.7641,0.7646,0.3853,0.3544,0.7891,0.0,0.0,0.368,0.8496,0.8496,9.1429,25.4,9.9,3.7,15.6,11.3,0.1459,0.5445,0.04,0.5716,0.6768,4785.13368733953,1112693.61198828,"POLYGON ((-1968404.7569999993 -160152.35419999994, -1968570.5951999985 -160898.2020999994, -1968039.4353 -160978.30539999902, -1967981.0694999993 -160991.50159999914, -1967731.884399999 -161029.22729999945, -1966841.5935999993 -161156.40880000032, -1966729.3937 -160658.67870000005, -1966973.084999999 -160604.2405999992, -1967421.2332999986 -160495.72259999998, -1967590.6142999995 -160407.21490000002, -1967737.7438999992 -160316.86620000005, -1967816.1531999987 -160285.48220000044, -1968404.7569999993 -160152.35419999994))","POLYGON ((-117.669867 34.055994, -117.66979 34.049158, -117.663946 34.049534, -117.663293 34.049537, -117.660551 34.049712, -117.650773 34.050402999999996, -117.650807 34.054967999999995, -117.653532 34.05495, -117.658564 34.05499, -117.660583 34.055419, -117.66237 34.055909, -117.663281 34.056024, -117.669867 34.055994))",False
16,06,071,1400000US06071001903,06071001903,San Bernardino,"Census Tract 19.03, San Bernardino County, Calif",13753,10014,0.5223,0.7284,0.9955,0.7307,0.831,0.5161,0.8592,0.0,0.2463,0.9645,0.58,0.5679,0.5679,7.2427,18.8,10.0,3.4,13.9,7.2,0.0246,0.5713,0.0264,0.0952,0.4916,34629.80880868153,40659525.92125402,"POLYGON ((-1969256.0406999998 -166665.90450000018, -1969358.1761999987 -167060.72890000045, -1968957.7456999999 -167155.79199999943, -1969044.7731999997 -167545.6294999998, -1968348.8276999984 -167702.42369999923, -1968528.469899999 -168491.46619999968, -1968886.1191999987 -170072.6604999993, -1969197.9046 -171428.83079999872, -1969248.6745999996 -171731.496199999, -1969302.6581999995 -171950.93520000018, -1969509.071799999 -172373.63999999873, -1970405.4229999986 -173862.64759999886, -1970644.8455999997 -174008.21239999868, -1970577.1378999986 -174204.13299999945, -1970434.9453999996 -174784.9815999996, -1970416.4655999988 -174700.82349999994, -1966442.9905999992 -175621.29179999977, -1965914.8527999986 -173347.95500000007, -1965558.9189 -171814.70629999973, -1965411.5994999986 -171352.23489999957, -1965221.328499999 -170570.26129999943, -1964885.8676999994 -170517.34449999966, -1964292.8132999986 -170414.6855999995, -1964205.8358999994 -170380.54729999974, -1963609.1959999986 -170294.38979999907, -1963537.7199999988 -170273.52280000038, -1960150.7890999988 -169814.45869999938, -1959936.9587999992 -168866.88040000014, -1963037.7100999989 -168134.15099999867, -1964151.7441999987 -167853.21219999902, -1964236.433699999 -167790.4879999999, -1966140.9581999984 -167365.9210000001, -1968167.0900999997 -166908.81159999967, -1968866.935899999 -166752.48929999955, -1969256.0406999998 -166665.90450000018))","POLYGON ((-117.662853 33.9975, -117.662965 33.993852, -117.658477 33.993832999999995, -117.658441 33.990259, -117.650662 33.990299, -117.650627 33.983058, -117.650532 33.968551999999995, -117.650504 33.9561, -117.65029799999999 33.953359, -117.650331 33.951336999999995, -117.651482 33.947235, -117.657332 33.932443, -117.659515 33.93069, -117.658314 33.929119, -117.65537499999999 33.924343, -117.655386 33.925114, -117.610947 33.925114, -117.610925 33.945999, -117.610913 33.960084, -117.610485 33.964413, -117.610386 33.971613999999995, -117.60687300000001 33.972778999999996, -117.600906 33.974843, -117.600066 33.975316, -117.59394 33.97727, -117.593232 33.977596, -117.55837700000001 33.98842, -117.558429 33.997112, -117.593175 33.997254999999996, -117.60570200000001 33.997458, -117.606756 33.997834, -117.628035 33.997692, -117.65068600000001 33.997583999999996, -117.658506 33.997532, -117.662853 33.9975))",False
17,06,071,1400000US06071001905,06071001905,San Bernardino,"Census Tract 19.05, San Bernardino County, Calif",6981,4091,0.38,0.5527,0.9953,0.8064,0.8851,0.5344,0.3394,0.0,0.2961,0.0,0.0997,0.3876,0.3876,6.1502,21.8,8.7,4.1,12.1,8.8,0.0544,0.2054,0.0688,0.2542,0.2812,16900.62625199494,14636308.220338205,"POLYGON ((-1968346.8111999985 -164377.2600999996, -1968523.5632999986 -165175.03459999897, -1968697.8512999993 -165961.78569999896, -1968866.935899999 -166752.48929999955, -1968167.0900999997 -166908.81159999967, -1966140.9581999984 -167365.9210000001, -1964236.433699999 -167790.4879999999, -1964151.7441999987 -167853.21219999902, -1963037.7100999989 -168134.15099999867, -1962668.2657999992 -166546.45139999874, -1962485.6313999984 -165750.84559999965, -1963089.5253999997 -165602.0197999999, -1963505.543399999 -165497.64580000006, -1963682.2348999996 -165432.10529999994, -1963765.553199999 -165398.14509999938, -1964058.3287999984 -165334.5298999995, -1964449.5219 -165248.12559999898, -1964835.7070999984 -165159.19079999998, -1965227.879999999 -165075.3898999989, -1965618.0467999987 -164986.98709999956, -1966397.7507999986 -164812.3356999997, -1967612.9813 -164542.3816999998, -1967957.6948999986 -164464.51860000007, -1968346.8111999985 -164377.2600999996))","POLYGON ((-117.658833 34.019287, -117.658745 34.011976, -117.658658 34.004766, -117.658506 33.997532, -117.65068600000001 33.997583999999996, -117.628035 33.997692, -117.606756 33.997834, -117.60570200000001 33.997458, -117.593175 33.997254999999996, -117.59315 34.011841, -117.593164 34.019145, -117.599948 34.019225, -117.604626 34.019296, -117.60666499999999 34.019511, -117.607634 34.019639, -117.610902 34.019603, -117.615272 34.019566999999995, -117.619595 34.019563, -117.623969 34.019501999999996, -117.628333 34.019484999999996, -117.63704899999999 34.019433, -117.650628 34.019331, -117.654483 34.019313, -117.658833 34.019287))",False
18,06,071,1400000US06071001809,06071001809,San Bernardino,"Census Tract 18.09, San Bernardino County, Calif",4975,5234,0.6874,0.905,0.9947,0.8919,0.9207,0.3853,0.2478,0.2756,0.7666,0.0,0.503,0.7297,0.7297,8.2731,25.2,9.4,4.2,13.8,10.6,0.1385,0.3966,0.0785,0.4854,0.4797,6544.791849055629,2353740.19118732,"POLYGON ((-1964272.7278999984 -164458.27190000005, -1964449.5219 -165248.12559999898, -1964058.3287999984 -165334.5298999995, -1963765.553199999 -165398.14509999938, -1963682.2348999996 -165432.10529999994, -1963505.543399999 -165497.64580000006, -1963089.5253999997 -165602.0197999999, -1962485.6313999984 -165750.84559999965, -1962202.9083999991 -164512.99230000004, -1962750.6351999994 -164389.7751000002, -1963399.504999999 -164238.5324999988, -1963793.660699999 -164150.54349999875, -1963881.5069999993 -164544.79759999923, -1964272.7278999984 -164458.27190000005))","POLYGON ((-117.611001 34.030457999999996, -117.610965 34.026844, -117.615336 34.026809, -117.615272 34.019566999999995, -117.610902 34.019603, -117.607634 34.019639, -117.60666499999999 34.019511, -117.604626 34.019296, -117.599948 34.019225, -117.593164 34.019145, -117.593201 34.030505999999995, -117.59932599999999 34.030476, -117.606595 34.030485999999996, -117.611001 34.030457999999996))",False
